ID,Name,hit0_Radius,hit1_Radius,hit2_Radius,hit3_Radius,knockbackDist,hitStopTime,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,hit0_DmyPoly1,hit1_DmyPoly1,hit2_DmyPoly1,hit3_DmyPoly1,hit0_DmyPoly2,hit1_DmyPoly2,hit2_DmyPoly2,hit3_DmyPoly2,blowingCorrection,atkPhysCorrection,atkMagCorrection,atkFireCorrection,atkThunCorrection,atkStamCorrection,guardAtkRateCorrection,guardBreakCorrection,atkThrowEscapeCorrection,atkSuperArmorCorrection,atkPhys,atkMag,atkFire,atkThun,atkStam,guardAtkRate,guardBreakRate,atkSuperArmor,atkThrowEscape,atkObj,guardStaminaCutRate,guardRate,throwTypeId,hit0_hitType,hit1_hitType,hit2_hitType,hit3_hitType,hti0_Priority,hti1_Priority,hti2_Priority,hti3_Priority,dmgLevel,mapHitType,guardCutCancelRate,atkAttribute,spAttribute,atkType,atkMaterial,atkSize,defMaterial,defSfxMaterial,hitSourceType,throwFlag,disableGuard,disableStaminaAttack,disableHitSpEffect,IgnoreNotifyMissSwingForAI,repeatHitSfx,isArrowAtk,isGhostAtk,isDisableNoDamage,pad
4300200,鞭_両手通常1,0.3,0.15,0.15,0.15,1.1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,115,115,115,115,300,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300210,鞭_両手通常2,0.3,0.15,0.15,0.15,1.1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,115,115,115,115,300,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300220,鞭_両手通常3,0.3,0.15,0.15,0.15,1.1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,115,115,115,115,300,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300230,鞭_両手ジャンプ1,0.3,0.15,0.15,0.15,1.2,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,155,155,155,155,350,9900,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300300,鞭_両手タメ1,0.3,0.15,0.15,0.15,1.4,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,135,135,135,135,400,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,2,0,0,0,0,3,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300310,鞭_両手タメ2,0.3,0.15,0.15,0.15,1.4,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,135,135,135,135,400,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,2,0,0,0,0,3,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300400,鞭_左手,0.3,0.15,0.15,0.15,1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,100,100,100,100,220,500,100,100,100,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,2,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300520,鞭_片手ダッシュ,0.3,0.15,0.15,0.15,1.2,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,110,110,110,110,250,500,100,100,110,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300530,鞭_両手ダッシュ,0.3,0.15,0.15,0.15,1.2,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,130,130,130,130,350,500,100,100,160,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300540,鞭_片手ステップ前,0.3,0.15,0.15,0.15,1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,90,90,90,90,220,500,100,100,100,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300580,鞭_両手ステップ前,0.3,0.15,0.15,0.15,1,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,110,110,110,110,300,500,100,100,150,0,0,0,0,0,0,0,0,0,40,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
