ID,Name,sortId,wanderingEquipId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,fixPrice,basicPrice,sellValue,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,materialSetId,partsDamageRate,corectSARecover,originEquipPro,originEquipPro1,originEquipPro2,originEquipPro3,originEquipPro4,originEquipPro5,originEquipPro6,originEquipPro7,originEquipPro8,originEquipPro9,originEquipPro10,originEquipPro11,originEquipPro12,originEquipPro13,originEquipPro14,originEquipPro15,faceScaleM_ScaleX,faceScaleM_ScaleZ,faceScaleM_MaxX,faceScaleM_MaxZ,faceScaleF_ScaleX,faceScaleF_ScaleZ,faceScaleF_MaxX,faceScaleF_MaxZ,qwcId,equipModelId,iconIdM,iconIdF,knockBack,knockbackBounceRate,durability,durabilityMax,saDurability,defFlickPower,defensePhysics,defenseMagic,defenseFire,defenseThunder,defenseSlash,defenseBlow,defenseThrust,resistPoison,resistDisease,resistBlood,resistCurse,reinforceTypeId,trophySGradeId,shopLv,knockbackParamId,flickDamageCutRate,equipModelCategory,equipModelGender,protectorCategory,defenseMaterial,defenseMaterialSfx,partsDmgType,defenseMaterial_Weak,defenseMaterialSfx_Weak,isDeposit,headEquip,bodyEquip,armEquip,legEquip,useFaceScale,invisibleFlag00,invisibleFlag01,invisibleFlag02,invisibleFlag03,invisibleFlag04,invisibleFlag05,invisibleFlag06,invisibleFlag07,invisibleFlag08,invisibleFlag09,invisibleFlag10,invisibleFlag11,invisibleFlag12,invisibleFlag13,invisibleFlag14,invisibleFlag15,invisibleFlag16,invisibleFlag17,invisibleFlag18,invisibleFlag19,invisibleFlag20,invisibleFlag21,invisibleFlag22,invisibleFlag23,invisibleFlag24,invisibleFlag25,invisibleFlag26,invisibleFlag27,invisibleFlag28,invisibleFlag29,invisibleFlag30,invisibleFlag31,invisibleFlag32,invisibleFlag33,invisibleFlag34,invisibleFlag35,invisibleFlag36,invisibleFlag37,invisibleFlag38,invisibleFlag39,invisibleFlag40,invisibleFlag41,invisibleFlag42,invisibleFlag43,invisibleFlag44,invisibleFlag45,invisibleFlag46,invisibleFlag47,disableMultiDropShare,simpleModelForDlc,pad_0,oldSortId,pad_1
380000,Big Hat,85,950000,101300,101310,101320,750,200,100,3,-1,6300,6940,7100,1.5,0,380000,380000,380000,380000,380000,380000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9540,1205,1205,0,0,250,250,4,0,14,43,7,17,10,10,-10,13,13,13,0,100,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,[0|0|0|0|0|0]
410000,Maiden Hood,113,950000,100700,100710,100720,450,200,1000,0.8,-1,6300,6941,7000,1.5,0,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9521,1217,1217,0,0,150,150,0,0,7,8,5,6,0,17,0,7,7,9,3,0,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,[0|0|0|0|0|0]
450000,Brass Helm,80,950000,101300,101310,101320,4800,200,100,5.1,-1,6300,6943,7100,1.1,-0.1,450000,450000,450000,450000,450000,450000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9610,1233,1237,0,0,600,600,8,0,22,12,11,11,13,-4,0,9,9,11,6,100,-1,-1,1,0,5,3,0,57,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,[0|0|0|0|0|0]
460000,Gold-Hemmed Black Hood,101,950000,-1,-1,-1,1200,200,1000,1.4,-1,6300,6934,-1,1.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,9620,1242,1242,0,0,400,400,0,0,11,15,22,8,0,7,0,36,36,16,0,0,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,[0|0|0|0|0|0]
580000,Royal Helm,238,950000,100700,100710,100720,4000,200,3000,4.5,-1,6300,6900,7200,1.5,-0.1,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,-1,-1,-1,-1,-1,1,1,1.08,1.08,1,1,1.08,1.08,0,2920,1272,1272,0,0,500,500,8,0,16,10,10,6,0,-13,0,12,12,16,0,0,0,0,1,0,5,0,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,[0|0|0|0|0|0]
650000,Elite Cleric Helm,56,950000,100700,100710,100720,2500,200,100,5.1,6200,6300,6941,7200,1.5,-0.1,650000,650000,650000,650000,650000,650000,650000,650000,650000,650000,650000,-1,-1,-1,-1,-1,1,1,1.15,1.15,1,1,1.15,1.15,-1,9341,1286,1290,0,0,500,500,9,0,16,9,8,6,14,0,0,6,6,9,0,0,-1,-1,1,0,5,3,0,57,56,0,63,63,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,[0|0|0|0|0|0]
660000,Helm of Artorias,183,950000,101300,101310,101320,4500,200,100,4.2,-1,6300,2260,7100,1.1,-0.1,660000,660000,660000,660000,660000,660000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9700,1294,1294,0,0,600,600,6,0,18,9,19,9,15,-10,5,9,9,9,9,100,-1,-1,1,0,5,0,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,[0|0|0|0|0|0]
670000,Porcelain Mask,191,950000,101300,101310,101320,3000,200,100,2.5,-1,6300,6920,7100,1.3,-0.1,670000,670000,670000,670000,670000,670000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9710,1298,1298,0,0,250,250,3,0,13,10,12,8,5,0,10,19,19,11,11,100,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,[0|0|0|0|0|0]
680000,Gough's Helm,187,950000,101300,101310,101320,3800,200,100,6.5,6200,6300,6910,7100,1.1,-0.1,680000,680000,680000,680000,680000,680000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9720,1302,1302,0,0,450,450,9,0,25,14,21,11,5,0,-5,6,6,11,0,100,-1,-1,1,0,5,3,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,[0|0|0|0|0|0]
700000,Snickering Top Hat,109,950000,101300,101310,101320,1200,200,100,2,-1,6300,36,7100,1.3,0,700000,700000,700000,700000,700000,700000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9740,1310,1310,0,0,300,300,4,0,12,13,9,12,0,35,0,14,14,19,0,100,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,[0|0|0|0|0|0]
